Date;Time;Temperature (C);Humidity (%)
02.09.2024;09:26;21.4;57.4
02.09.2024;09:27;21.2;59.5
02.09.2024;09:28;21.2;63.3
02.09.2024;09:29;21.1;61.0
02.09.2024;09:30;21.1;60.8
02.09.2024;09:31;21.0;60.9
02.09.2024;09:32;21.0;61.8
02.09.2024;09:33;21.1;62.3
02.09.2024;09:34;21.1;63.1
02.09.2024;09:35;21.2;62.8
02.09.2024;09:36;21.2;62.0
02.09.2024;09:37;21.2;61.8
02.09.2024;09:38;21.2;61.5
02.09.2024;09:39;21.2;61.8
02.09.2024;09:40;21.2;61.6
02.09.2024;09:41;21.2;62.4
02.09.2024;09:42;21.2;62.6
02.09.2024;09:43;21.2;62.5
02.09.2024;09:44;21.0;59.7
02.09.2024;09:45;20.6;60.5
02.09.2024;09:46;19.9;62.4
02.09.2024;09:47;19.3;63.2
02.09.2024;09:48;18.7;63.1
02.09.2024;09:49;18.2;63.9
02.09.2024;09:50;17.7;65.0
02.09.2024;09:51;17.2;66.3
02.09.2024;09:52;16.9;66.6
02.09.2024;09:53;16.5;66.7
02.09.2024;09:54;16.2;66.9
02.09.2024;09:55;15.8;67.2
02.09.2024;09:56;15.6;68.4
02.09.2024;09:57;15.4;70.5
02.09.2024;09:58;15.2;72.1
02.09.2024;09:59;15.0;71.8
02.09.2024;10:00;14.8;71.6
02.09.2024;10:01;14.7;71.4
02.09.2024;10:02;14.5;71.2
02.09.2024;10:03;14.3;71.0
02.09.2024;10:04;14.2;70.7
02.09.2024;10:05;14.1;70.6
02.09.2024;10:06;13.9;70.9
02.09.2024;10:07;13.8;70.7
02.09.2024;10:08;13.7;70.6
02.09.2024;10:09;13.7;70.5
02.09.2024;10:10;13.5;70.3
02.09.2024;10:11;13.4;70.2
02.09.2024;10:12;13.3;70.0
02.09.2024;10:13;13.2;69.7
02.09.2024;10:14;13.2;69.7
02.09.2024;10:15;13.1;69.9
02.09.2024;10:16;13.0;69.6
02.09.2024;10:17;12.9;69.4
02.09.2024;10:18;12.9;69.1
02.09.2024;10:19;12.8;68.5
02.09.2024;10:20;12.7;68.3
02.09.2024;10:21;12.6;68.2
02.09.2024;10:22;12.6;69.3
02.09.2024;10:23;12.5;71.1
02.09.2024;10:24;12.4;71.7
02.09.2024;10:25;12.4;70.9
02.09.2024;10:26;12.3;70.1
02.09.2024;10:27;12.3;69.4
02.09.2024;10:28;12.2;68.4
02.09.2024;10:29;12.1;67.6
02.09.2024;10:30;12.1;66.8
02.09.2024;10:31;12.0;66.1
02.09.2024;10:32;11.9;65.4
02.09.2024;10:33;11.8;65.4
02.09.2024;10:34;11.8;65.5
02.09.2024;10:35;11.7;65.5
02.09.2024;10:36;11.6;65.2
02.09.2024;10:37;11.6;65.1
02.09.2024;10:38;11.5;64.7
02.09.2024;10:39;11.5;64.4
02.09.2024;10:40;11.4;64.0
02.09.2024;10:41;11.3;63.6
02.09.2024;10:42;11.3;63.8
02.09.2024;10:43;11.2;64.0
02.09.2024;10:44;11.1;65.1
02.09.2024;10:45;11.1;65.8
02.09.2024;10:46;11.1;74.1
02.09.2024;10:47;11.1;78.9
02.09.2024;10:48;11.2;79.2
02.09.2024;10:49;11.2;79.0
02.09.2024;10:50;11.2;80.0
02.09.2024;10:51;11.2;80.8
02.09.2024;10:52;11.2;84.2
02.09.2024;10:53;11.3;86.8
02.09.2024;10:54;11.4;84.7
02.09.2024;10:55;11.4;83.0
02.09.2024;10:56;11.4;81.5
02.09.2024;10:57;11.4;80.1
02.09.2024;10:58;11.4;81.9
02.09.2024;10:59;11.4;87.1
02.09.2024;11:00;11.5;89.3
02.09.2024;11:01;11.6;90.7
02.09.2024;11:02;11.7;91.3
02.09.2024;11:03;11.8;91.1
02.09.2024;11:04;11.9;90.1
02.09.2024;11:05;11.9;88.2
02.09.2024;11:06;11.9;86.3
02.09.2024;11:07;11.9;84.8
02.09.2024;11:08;11.9;83.4
02.09.2024;11:09;11.8;82.3
02.09.2024;11:10;11.8;82.1
02.09.2024;11:11;11.8;83.2
02.09.2024;11:12;11.8;84.3
02.09.2024;11:13;11.8;87.1
02.09.2024;11:14;11.8;90.0
02.09.2024;11:15;11.9;90.7
02.09.2024;11:16;12.0;91.2
02.09.2024;11:17;12.2;91.5
02.09.2024;11:18;12.2;91.8
02.09.2024;11:19;12.3;91.9
02.09.2024;11:20;12.4;92.3
02.09.2024;11:21;12.5;92.3
02.09.2024;11:22;12.6;92.4
02.09.2024;11:23;12.7;92.5
02.09.2024;11:24;12.8;92.5
02.09.2024;11:25;12.8;92.4
02.09.2024;11:26;12.9;92.4
