Date;Time;Temperature (C);Humidity (%)
09.09.2024;16:13:15;13.1;76.3
09.09.2024;16:13:20;12.8;77.7
09.09.2024;16:13:25;12.7;77.5
09.09.2024;16:13:30;12.7;77.4
09.09.2024;16:13:35;12.8;77.3
09.09.2024;16:13:40;12.7;77.3
09.09.2024;16:13:45;12.7;77.5
09.09.2024;16:13:50;12.8;77.8
09.09.2024;16:13:55;12.8;77.8
09.09.2024;16:14:00;12.8;77.8
09.09.2024;16:14:05;12.7;77.7
09.09.2024;16:14:10;12.8;77.8
09.09.2024;16:14:15;12.8;77.8
09.09.2024;16:14:20;12.8;77.8
09.09.2024;16:14:25;12.8;77.8
09.09.2024;16:14:30;12.8;77.8
09.09.2024;16:14:35;12.8;77.7
09.09.2024;16:14:40;12.8;77.7
09.09.2024;16:14:45;12.8;77.5
09.09.2024;16:14:50;12.8;77.3
09.09.2024;16:14:55;12.8;77.1
09.09.2024;16:15:00;12.8;77.0
09.09.2024;16:15:05;12.8;76.8
09.09.2024;16:15:10;12.8;76.7
09.09.2024;16:15:15;12.8;76.6
09.09.2024;16:15:20;12.9;76.6
09.09.2024;16:15:25;12.9;76.5
09.09.2024;16:15:30;12.9;76.4
09.09.2024;16:15:35;12.9;76.4
09.09.2024;16:15:40;12.9;76.3
09.09.2024;16:15:45;12.9;76.3
09.09.2024;16:15:50;12.9;76.3
09.09.2024;16:15:55;12.9;76.3
09.09.2024;16:16:00;12.9;76.3
09.09.2024;16:16:05;12.9;76.2
09.09.2024;16:16:10;12.9;76.1
09.09.2024;16:16:15;12.9;76.0
09.09.2024;16:16:20;12.9;76.0
09.09.2024;16:16:25;12.9;75.9
09.09.2024;16:16:30;12.9;75.8
09.09.2024;16:16:35;12.9;75.7
09.09.2024;16:16:40;13.0;75.7
09.09.2024;16:16:45;13.0;75.6
09.09.2024;16:16:50;13.0;75.6
09.09.2024;16:16:55;13.0;75.6
09.09.2024;16:17:00;13.0;75.6
09.09.2024;16:17:05;13.0;75.5
09.09.2024;16:17:10;13.0;75.3
09.09.2024;16:17:15;13.0;75.1
09.09.2024;16:17:20;13.0;75.0
09.09.2024;16:17:25;13.0;74.8
09.09.2024;16:17:30;13.0;74.5
09.09.2024;16:17:35;13.0;74.3
09.09.2024;16:17:40;13.0;74.0
09.09.2024;16:17:45;13.0;73.8
09.09.2024;16:17:50;13.0;73.5
09.09.2024;16:17:55;13.0;73.3
09.09.2024;16:18:00;13.1;73.0
09.09.2024;16:18:05;13.0;72.7
09.09.2024;16:18:10;13.1;72.5
09.09.2024;16:18:15;13.1;72.3
09.09.2024;16:18:20;13.0;71.9
09.09.2024;16:18:25;13.1;71.8
09.09.2024;16:18:30;13.1;71.6
09.09.2024;16:18:35;13.1;71.3
09.09.2024;16:18:40;13.1;71.1
09.09.2024;16:18:45;13.1;70.8
09.09.2024;16:18:50;13.1;70.5
09.09.2024;16:18:55;13.1;70.4
09.09.2024;16:19:00;13.0;70.1
09.09.2024;16:19:05;13.0;69.7
09.09.2024;16:19:10;13.1;69.6
09.09.2024;16:19:15;13.1;69.4
09.09.2024;16:19:20;13.1;69.1
09.09.2024;16:19:25;13.1;68.9
09.09.2024;16:19:30;13.1;68.7
09.09.2024;16:19:35;13.1;68.3
09.09.2024;16:19:40;13.0;68.0
09.09.2024;16:19:45;13.0;67.7
09.09.2024;16:19:50;13.1;67.6
09.09.2024;16:19:55;13.1;67.5
09.09.2024;16:20:00;13.0;67.2
09.09.2024;16:20:05;13.1;67.0
09.09.2024;16:20:10;13.1;66.8
09.09.2024;16:20:15;13.0;66.4
09.09.2024;16:20:20;13.0;66.1
09.09.2024;16:20:25;13.0;66.0
09.09.2024;16:20:30;13.0;65.8
09.09.2024;16:20:35;13.0;65.8
09.09.2024;16:20:40;13.0;65.8
09.09.2024;16:20:45;13.0;65.7
09.09.2024;16:20:50;13.0;65.7
09.09.2024;16:20:55;13.0;65.6
09.09.2024;16:21:00;13.0;65.6
09.09.2024;16:21:05;13.0;65.5
09.09.2024;16:21:10;13.0;65.5
09.09.2024;16:21:15;13.0;65.5
09.09.2024;16:21:20;13.0;65.5
09.09.2024;16:21:25;13.0;65.5
09.09.2024;16:21:30;13.0;65.5
09.09.2024;16:21:35;13.0;65.6
09.09.2024;16:21:40;13.0;65.7
09.09.2024;16:21:45;13.0;65.7
09.09.2024;16:21:50;13.0;65.8
09.09.2024;16:21:55;13.0;65.8
09.09.2024;16:22:00;13.0;65.9
09.09.2024;16:22:05;13.0;66.0
09.09.2024;16:22:10;13.0;66.1
09.09.2024;16:22:15;13.0;66.2
09.09.2024;16:22:20;13.0;66.3
09.09.2024;16:22:25;13.0;66.4
09.09.2024;16:22:30;12.9;66.5
09.09.2024;16:22:35;13.0;66.6
09.09.2024;16:22:40;12.9;66.7
09.09.2024;16:22:45;13.0;66.9
09.09.2024;16:22:50;12.9;67.0
09.09.2024;16:22:55;12.9;67.1
09.09.2024;16:23:00;12.9;67.3
09.09.2024;16:23:05;13.0;67.5
09.09.2024;16:23:10;13.0;67.6
09.09.2024;16:23:15;12.9;67.7
09.09.2024;16:23:20;13.0;67.9
09.09.2024;16:23:25;13.0;68.1
09.09.2024;16:23:30;12.9;68.2
09.09.2024;16:23:35;13.0;68.5
09.09.2024;16:23:40;13.0;68.6
09.09.2024;16:23:45;13.0;68.8
09.09.2024;16:23:50;13.0;69.0
09.09.2024;16:23:55;13.0;69.1
09.09.2024;16:24:00;13.0;69.3
09.09.2024;16:24:05;13.0;69.4
09.09.2024;16:24:10;13.0;69.6
09.09.2024;16:24:15;13.0;69.7
09.09.2024;16:24:20;13.0;69.8
09.09.2024;16:24:25;13.0;70.0
09.09.2024;16:24:30;13.0;70.2
09.09.2024;16:24:35;13.0;70.3
09.09.2024;16:24:40;13.0;70.5
09.09.2024;16:24:45;13.0;70.5
09.09.2024;16:24:50;13.0;70.7
09.09.2024;16:24:55;13.0;70.9
09.09.2024;16:25:00;13.0;71.0
09.09.2024;16:25:05;13.0;71.2
09.09.2024;16:25:10;13.0;71.3
09.09.2024;16:25:15;13.0;71.5
09.09.2024;16:25:20;13.0;71.6
09.09.2024;16:25:25;13.0;71.8
09.09.2024;16:25:30;13.0;72.0
09.09.2024;16:25:35;13.0;72.2
09.09.2024;16:25:40;13.0;72.3
09.09.2024;16:25:45;13.0;72.4
09.09.2024;16:25:50;13.0;72.5
09.09.2024;16:25:55;13.0;72.6
09.09.2024;16:26:00;13.0;72.7
09.09.2024;16:26:05;13.0;72.8
09.09.2024;16:26:10;13.0;73.0
09.09.2024;16:26:15;13.1;73.2
