Date;Time;Temperature  (C);Humidity  (%)
05.09.2024;00:00:00;NaN;74.5
05.09.2024;00:00:05;6.2;74.7
05.09.2024;00:00:10;6.2;74.8
05.09.2024;00:00:15;6.2;999
05.09.2024;00:00:20;6.2;-99
05.09.2024;00:00:25;6.2;75.6
05.09.2024;00:00:30;6.2;75.8
05.09.2024;00:00:35;6.2;76.1
05.09.2024;00:00:40;6.2;
05.09.2024;00:00:45;6.3;76.6
05.09.2024;00:00:50;6.3;76.8
05.09.2024;00:00:55;6.3;76.9
05.09.2024;00:01:00;6.3;0.0
05.09.2024;00:01:05;6.3;NaN
05.09.2024;00:01:10;;77.1
05.09.2024;00:01:15;NaN;77.1


05.09.2024;00:01:20;6.3;999
05.09.2024;00:01:25;6.3;77.0
05.09.2024;25:70;6.3;76.8
05.09.2024;00:01:35;6.3;76.7
05.09.2024;00:01:40;999;76.6
05.09.2024;00:01:45;6.3;76.5
05.09.2024;00:01:50;6.3;76.3
05.09.2024;00:01:55;6.3;76.0
05.09.2024;00:02:00;6.3;75.8
05.09.2024;00:02:05;6.3;75.6
05.09.2024;00:02:10;6.3;75.4
05.09.2024;00:02:15;6.3;75.2
05.09.2024;00:02:20;6.3;75.0
05.09.2024;00:02:30;6.3;74.7
05.09.2024;00:02:35;6.3;74.6
05.09.2024;00:02:40;6.3;74.6
05.09.2024;00:02:45;6.2;74.5
05.09.2024;00:02:50;6.2;74.5
05.09.2024;00:02:55;6.2;
05.09.2024;00:03:00;6.2;74.6
05.09.2024;00:03:05;6.3;74.7
05.09.2024;00:03:10;6.3;74.8
05.09.2024;00:03:15;6.2;74.9
05.09.2024;00:03:20;6.2;75.0
05.09.2024;00:03:30;6.3;75.3
05.09.2024;00:03:35;6.3;75.5
05.09.2024;00:03:40;6.3;75.6
05.09.2024;00:03:45;6.3;75.7
05.09.2024;00:03:50;6.2;75.9
05.09.2024;00:03:55;6.3;76.1
05.09.2024;00:04:00;6.3;
05.09.2024;00:04:05;6.3;76.6
05.09.2024;00:04:10;6.3;
05.09.2024;00:04:15;6.3;77.0
05.09.2024;00:04:20;6.3;77.2
05.09.2024;00:04:25;6.3;77.4
05.09.2024;00:04:30;6.3;77.5
05.09.2024;00:04:40;6.3;78.1
05.09.2024;00:04:45;6.3;
05.09.2024;00:04:50;6.3;78.2
05.09.2024;00:04:55;;78.4
05.09.2024;00:05:00;6.3;78.6
05.09.2024;00:05:05;6.3;78.8
05.09.2024;00:05:10;6.3;79.0
05.09.2024;00:05:15;6.3;79.2
05.09.2024;00:05:20;6.3;79.4
05.09.2024;00:05:25;6.3;79.5
05.09.2024;00:05:30;6.3;79.7
05.09.2024;00:05:35;6.4;79.9
05.09.2024;00:05:40;6.4;80.1
05.09.2024;00:05:45;6.4;80.3
05.09.2024;00:05:50;6.4;80.5
05.09.2024;00:05:55;6.4;80.6
