Date;Time;Temperature (C);Humidity (%)
09.09.2024;14:00:00;12.00;83.40
09.09.2024;14:00:05;11.40;84.90
09.09.2024;14:00:10;11.40;84.80
09.09.2024;14:00:15;11.40;84.90
09.09.2024;14:00:20;11.40;84.70
09.09.2024;14:00:25;11.40;85.80
09.09.2024;14:00:30;11.40;85.10
09.09.2024;14:00:35;11.40;84.50
09.09.2024;14:00:40;11.40;83.90
09.09.2024;14:00:45;11.40;84.30
09.09.2024;14:00:50;11.40;83.40
09.09.2024;14:00:55;11.40;83.00
09.09.2024;14:01:00;11.40;82.50
09.09.2024;14:01:05;11.40;82.60
09.09.2024;14:01:10;11.40;81.80
09.09.2024;14:01:15;11.40;81.50
09.09.2024;14:01:20;11.40;81.20
09.09.2024;14:01:25;11.40;80.90
09.09.2024;14:01:30;11.40;80.60
09.09.2024;14:01:35;11.40;80.00
09.09.2024;14:01:40;11.40;79.70
09.09.2024;14:01:45;11.40;79.50
09.09.2024;14:01:50;11.40;79.40
09.09.2024;14:01:55;11.40;79.10
09.09.2024;14:02:00;11.30;79.00
09.09.2024;14:02:05;11.30;78.80
09.09.2024;14:02:10;11.30;78.70
09.09.2024;14:02:15;11.30;78.40
09.09.2024;14:02:20;11.30;78.30
09.09.2024;14:02:25;11.30;78.10
09.09.2024;14:02:30;11.30;77.90
09.09.2024;14:02:35;11.30;77.60
09.09.2024;14:02:40;11.30;77.30
09.09.2024;14:02:45;11.30;77.10
09.09.2024;14:02:50;11.20;76.60
09.09.2024;14:02:55;11.30;76.60
09.09.2024;14:03:00;11.20;76.40
09.09.2024;14:03:05;11.20;76.10
09.09.2024;14:03:10;11.20;76.00
09.09.2024;14:03:15;11.20;75.80
09.09.2024;14:03:20;11.20;75.50
09.09.2024;14:03:25;11.20;75.30
09.09.2024;14:03:30;11.20;74.90
09.09.2024;14:03:35;11.20;74.70
09.09.2024;14:03:40;11.20;74.40
09.09.2024;14:03:45;11.20;74.10
09.09.2024;14:03:50;11.20;73.80
09.09.2024;14:03:55;11.20;73.70
09.09.2024;14:04:00;11.20;73.50
09.09.2024;14:04:05;11.20;73.30
09.09.2024;14:04:10;11.10;72.90
09.09.2024;14:04:15;11.10;72.70
09.09.2024;14:04:20;11.10;72.50
09.09.2024;14:04:25;11.10;72.30
09.09.2024;14:04:30;11.10;72.30
09.09.2024;14:04:35;11.10;72.20
09.09.2024;14:04:40;11.10;72.10
09.09.2024;14:04:45;11.00;72.00
09.09.2024;14:04:50;11.00;72.00
09.09.2024;14:04:55;11.10;72.10
09.09.2024;14:05:00;11.10;72.20
09.09.2024;14:05:05;11.10;72.20
09.09.2024;14:05:10;11.10;72.30
09.09.2024;14:05:15;11.10;72.50
09.09.2024;14:05:20;11.00;72.70
09.09.2024;14:05:25;11.00;72.90
09.09.2024;14:05:30;11.00;73.10
09.09.2024;14:05:35;11.00;73.40
09.09.2024;14:05:40;11.10;73.70
09.09.2024;14:05:45;11.00;73.90
09.09.2024;14:05:50;11.00;74.20
09.09.2024;14:05:55;11.00;74.50
09.09.2024;14:06:00;11.10;74.80
09.09.2024;14:06:05;11.10;75.20
09.09.2024;14:06:10;11.10;75.50
09.09.2024;14:06:15;11.10;75.80
09.09.2024;14:06:20;11.00;76.00
